,class,collection,date
0,Forest,terraclass_amazonia-v2,2004
1,Forest,mapbiomas_amazonia-v5,2004
2,Forest,mapbiomas_amazonia-v5,2005
3,Forest,mapbiomas_amazonia-v5,2006
4,Forest,mapbiomas_amazonia-v5,2007
5,Deforestation of the year,terraclass_amazonia-v2,2008
6,Pasture,mapbiomas_amazonia-v5,2008
7,Pasture,mapbiomas_amazonia-v5,2009
8,Pasture,terraclass_amazonia-v2,2010
9,Pasture,mapbiomas_amazonia-v5,2010
10,Pasture,mapbiomas_amazonia-v5,2011
11,Pasture,terraclass_amazonia-v2,2012
12,Pasture,mapbiomas_amazonia-v5,2012
13,Pasture,mapbiomas_amazonia-v5,2013
14,Pasture,terraclass_amazonia-v2,2014
15,Pasture,mapbiomas_amazonia-v5,2014
